,Unnamed: 0,City,State,median_income,murders_2016_pro10e5,assaults_2016_pro10e5
151,151,Jackson,Mississippi,"39,724",34.1,355.7
152,152,Cary,North Carolina,"100,167",0.6,37.6
153,153,Fort Collins,Colorado,"59,357",3.0,160.3
154,154,Hayward,California,"75,352",8.1,126.6
155,155,Lancaster,California,"46,910",4.3,421.7
156,156,Alexandria,Virginia,"87,920",4.5,79.8
157,157,Salinas,California,"58,089",22.1,352.2
158,158,Palmdale,California,"52,423",5.0,264.7
159,159,Sunnyvale,California,"121,546",0.6,53.9
160,160,Hollywood,Florida,"52,682",4.6,196.0
161,161,Pasadena,Texas,"50,043",1.9,240.5
162,162,Clarksville,Tennessee,"51,696",7.9,470.7
163,163,Pomona,California,"53,972",8.4,253.7
164,164,Kansas City,Kansas,"42,141",18.6,377.1
165,165,Macon,Georgia,"29,145",19.7,315.9
166,166,Escondido,California,"60,328",2.6,230.9
167,167,Joliet,Illinois,"63,864",6.8,202.2
168,168,Naperville,Illinois,"116,482",0.0,29.0
169,169,Rockford,Illinois,"39,537",17.6,"1,184.2"
170,170,Torrance,California,"85,710",0.7,73.8
171,171,Savannah,Georgia,"38,879",,
172,172,Killeen,Texas,"47,556",11.2,430.7
173,173,Bellevue,Washington,"113,877",0.0,45.0
174,174,Mesquite,Texas,"55,416",1.4,195.5
175,175,Syracuse,New York,"33,695",20.8,441.9
176,176,McAllen,Texas,"43,062",2.1,75.2
177,177,Pasadena,California,"76,263",1.4,184.9
178,178,Orange,California,"84,141",0.7,102.2
179,179,Fullerton,California,"72,656",3.5,131.7
180,180,Dayton,Ohio,"28,894",25.7,525.5
181,181,Olathe,Kansas,"82,242",0.7,106.6
182,182,Thornton,Colorado,"75,289",3.7,214.7
183,183,Waco,Texas,"37,722",3.0,305.7
184,184,Murfreesboro,Tennessee,"54,654",4.6,444.8
185,185,Denton,Texas,"54,528",3.7,131.3
186,186,Midland,Texas,"64,616",2.2,211.9
187,187,Carrollton,Texas,"70,673",2.9,73.5
188,188,Roseville,California,"86,275",0.0,62.6
189,189,Warren,Michigan,"46,249",4.4,325.9
190,190,Charleston,South Carolina,"61,467",8.1,182.0
191,191,Hampton,Virginia,"50,435",17.7,146.1
0,2,Surprise,Arizona,60521,4.6,60.5
1,3,Columbia,South Carolina,48577,7.4,536.1
2,4,Visalia,California,55280,6.1,216.5
3,5,Sterling Heights,Michigan,61828,0.8,138.1
4,6,Gainesville,Florida,32968,2.3,408.4
5,7,Cedar Rapids,Iowa,57135,3.0,164.7
6,8,New Haven,Connecticut,40457,10.0,567.4
7,9,Stamford,Connecticut,87662,1.5,154.5
8,10,Elizabeth,New Jersey,42690,3.9,378.0
9,11,Concord,California,76335,0.8,197.1
10,12,Thousand Oaks,California,100578,0.0,77.8
11,13,Kent,Washington,65423,3.9,100.6
12,14,Santa Clara,California,110110,2.3,63.2
13,15,Simi Valley,California,94363,1.6,82.5
14,16,Lafayette,Louisiana,48139,8.5,359.1
15,17,Topeka,Kansas,45054,13.4,308.3
