Location,Location_Type,Year,Month,Price_Studio,Price_1br,Price_2br,Price_3br,Price_4br,MoM_Price_Change,YoY_Price_Change
"Scottsdale, AZ","City",2018,6,850,1032,1286,1872,2171,.2,2.1
"Seabrook, TX","City",2018,6,734,832,1018,1388,1764,.5,6.2
"Seal Beach, CA","City",2018,6,1539,1832,2354,3199,3528,1.3,3.5
"Seattle, WA","City",2018,6,1156,1323,1648,2391,2844,.1,-2
"Seminole, FL","City",2018,6,936,1069,1331,1760,2111,-.7,-.2
"Severn, MD","City",2018,6,1063,1291,1619,2082,2438,.4,-2.4
"Shakopee, MN","City",2018,6,916,1130,1425,2018,2359,1.1,5.2
"Sharon, MA","City",2018,6,1768,2017,2501,3143,3464,-.4,
"Shawnee, KS","City",2018,6,653,826,1013,1385,1567,.5,2.3
"Shelton, CT","City",2018,6,910,1113,1405,1776,2129,-1.6,-4.7
"Sherman, TX","City",2018,6,600,738,939,1282,1438,.1,6.2
"Shreveport, LA","City",2018,6,594,725,845,1076,1197,1,-1.2
"Sierra Vista, AZ","City",2018,6,665,669,836,1187,1473,-.1,.5
"Silver Spring, MD","City",2018,6,1439,1511,1745,2302,2855,-.3,1.8
"Simi Valley, CA","City",2018,6,1680,1994,2635,3722,4390,1.1,4.5
"Simpsonville, SC","City",2018,6,851,969,1163,1547,1830,-.2,2
"Sioux Falls, SD","City",2018,6,516,622,770,1042,1230,0,.5
"Slidell, LA","City",2018,6,822,959,1161,1489,1747,.1,.6
"Smyrna, GA","City",2018,6,1058,1110,1282,1683,2069,.4,4.9
"Smyrna, TN","City",2018,6,834,928,1140,1520,1787,1.2,4.4
"Snellville, GA","City",2018,6,1211,1270,1468,1926,2368,-.6,4.6
"Snoqualmie, WA","City",2018,6,1592,1822,2270,3294,3918,-.5,4.6
"Solana Beach, CA","City",2018,6,2054,2275,2951,4249,5200,.5,7.9
"Somerville, MA","City",2018,6,1479,1688,2093,2630,2899,.3,-.1
"South Bend, IN","City",2018,6,598,729,917,1185,1264,2.5,9.6
"South Gate, CA","City",2018,6,911,1084,1393,1893,2088,0,2.3
"South Haven, MI","City",2018,6,546,669,831,1132,1297,.2,
"South Houston, TX","City",2018,6,696,789,965,1316,1672,.1,2.3
"South Jordan, UT","City",2018,6,1155,1429,1773,2554,2934,-.3,4.1
"South Lyon, MI","City",2018,6,800,901,1125,1521,1789,,
"South Portland, ME","City",2018,6,906,1022,1289,1734,1891,1,6.7
"South San Francisco, CA","City",2018,6,2249,2764,3473,4673,5556,.6,2
"South St. Paul, MN","City",2018,6,681,840,1059,1500,1754,0,1.5
"Southaven, MS","City",2018,6,776,867,1025,1393,1633,.8,1.4
"Southfield, MI","City",2018,6,743,897,1168,1551,1683,.1,1
"Southgate, MI","City",2018,6,649,784,1021,1356,1471,.7,4
"Spanaway, WA","City",2018,6,1196,1369,1704,2474,2942,.6,4.2
"Sparks, NV","City",2018,6,937,1135,1478,2151,2604,1,6.6
"Spartanburg, SC","City",2018,6,524,664,810,1085,1228,-.5,.7
"Spokane, WA","City",2018,6,561,659,873,1255,1413,-.6,.7
"Spring Hill, TN","City",2018,6,1012,1127,1384,1844,2168,.7,.3
"Spring Valley, CA","City",2018,6,1289,1428,1852,2667,3264,-.3,-.1
"Spring, TX","City",2018,6,977,1108,1356,1848,2349,0,3.2
"Springdale, AR","City",2018,6,667,708,914,1312,1597,-1.4,
"Springfield, IL","City",2018,6,488,558,723,945,997,.1,1.9
"Springfield, MO","City",2018,6,485,525,683,989,1076,.4,-2
"Springfield, OH","City",2018,6,497,545,706,910,1016,.5,1.6
"Springfield, OR","City",2018,6,614,728,968,1403,1690,.3,3.7
"St. Ann, MO","City",2018,6,514,583,757,1003,1170,-.1,
"St. Charles, IL","City",2018,6,1183,1373,1615,2066,2458,1.1,1.1
"St. Charles, MO","City",2018,6,722,818,1062,1407,1642,1,-1.5
"St. Clair Shores, MI","City",2018,6,628,759,988,1312,1423,.4,
"St. Cloud, FL","City",2018,6,769,840,1007,1339,1611,.9,
"St. Cloud, MN","City",2018,6,544,669,830,1145,1451,-.2,1.7
"St. George, UT","City",2018,6,597,680,847,1220,1492,-3.3,
