,Unnamed: 0,City,State,Population_2017,Area,Pop_density,Things_to_do,State_code,Price_1br
78,80,Buffalo,New York,"258,612",104.6,"2,455",166,NY,716
79,81,Madison,Wisconsin,"255,214",199.4,"1,270",108,WI,834
80,82,Lubbock,Texas,"253,888",322.7,783,54,TX,664
81,83,Chandler,Arizona,"253,458",168.1,"1,472",46,AZ,1083
82,84,Scottsdale,Arizona,"249,950",476.3,518,172,AZ,1032
83,85,Reno,Nevada,"248,853",277.9,883,145,NV,879
84,86,Glendale,Arizona,"246,709",153.1,"1,607",43,AZ,895
85,87,Norfolk,Virginia,"244,703",138.0,"1,776",80,VA,789
86,89,North Las Vegas,Nevada,"242,975",253.8,941,470,NV,924
87,90,Gilbert,Arizona,"242,354",176.1,"1,346",37,AZ,1164
88,91,Chesapeake,Virginia,"240,397",876.7,271,28,VA,988
89,92,Irving,Texas,"240,373",173.5,"1,373",41,TX,972
90,93,Hialeah,Florida,"239,673",55.7,"4,245",19,FL,1109
91,94,Garland,Texas,"238,002",147.6,"1,592",262,TX,985
92,95,Fremont,California,"234,962",200.7,"1,161",30,CA,2984
93,96,Richmond,Virginia,"227,032",154.9,"1,441",190,VA,898
94,97,Boise,Idaho,"226,570",212.6,"1,049",139,ID,721
95,98,Baton Rouge,Louisiana,"225,374",222.5,"1,024",81,LA,782
96,99,Des Moines,Iowa,"217,521",230.2,936,72,IA,667
97,100,Spokane,Washington,"217,108",177.9,"1,214",113,WA,659
98,101,San Bernardino,California,"216,995",159.3,"1,358",29,CA,848
99,102,Modesto,California,"214,221",111.4,"1,905",22,CA,1110
100,103,Tacoma,Washington,"213,418",128.7,"1,641",17,WA,1238
101,104,Fontana,California,"211,815",111.4,"1,883",8,CA,1061
102,105,Santa Clarita,California,"210,888",136.8,"1,331",25,CA,1998
103,106,Birmingham,Alabama,"210,710",378.4,561,99,AL,811
104,107,Oxnard,California,"210,037",69.7,"2,984",40,CA,1221
105,108,Fayetteville,North Carolina,"209,889",382.5,535,57,NC,623
106,109,Rochester,New York,"208,046",92.7,"2,253",151,NY,767
107,110,Moreno Valley,California,"207,226",132.9,"1,547",54,CA,1366
108,111,Glendale,California,"203,054",78.7,"2,551",32,CA,1407
109,113,Huntington Beach,California,"201,874",69.7,"2,880",61,CA,1819
110,114,Aurora,Illinois,"200,965",116.3,"1,729",28,IL,1116
111,115,Salt Lake City,Utah,"200,544",288.0,673,181,UT,861
112,116,Amarillo,Texas,"199,826",262.6,760,61,TX,643
113,117,Montgomery,Alabama,"199,518",413.9,483,78,AL,713
114,118,Grand Rapids,Michigan,"198,829",115.0,"1,708",91,MI,759
115,119,Little Rock,Arkansas,"198,606",307.4,646,108,AR,713
116,120,Akron,Ohio,"197,846",160.6,"1,231",56,OH,621
117,121,Augusta,Georgia,"197,166",783.5,252,52,GA,641
118,122,Huntsville,Alabama,"194,585",552.7,349,79,AL,646
119,123,Columbus,Georgia,"194,058",560.5,353,54,GA,638
120,124,Grand Prairie,Texas,"193,837",187.3,"1,018",21,TX,999
121,125,Shreveport,Louisiana,"192,036",277.4,700,68,LA,725
122,126,Overland Park,Kansas,"191,278",194.5,971,30,KS,968
123,127,Tallahassee,Florida,"191,049",260.0,734,91,FL,804
124,128,Mobile,Alabama,"190,265",361.0,534,86,AL,771
125,129,Port St. Lucie,Florida,"189,344",307.9,601,31,FL,1298
126,130,Knoxville,Tennessee,"187,347",255.1,730,210,TN,776
127,131,Worcester,Massachusetts,"185,677",96.9,"1,905",50,MA,970
128,132,Tempe,Arizona,"185,038",103.6,"1,761",239,AZ,923
129,133,Cape Coral,Florida,"183,365",273.5,658,55,FL,895
130,134,Brownsville,Texas,"183,299",343.2,536,31,TX,523
131,135,McKinney,Texas,"181,330",163.2,"1,056",44,TX,1134
132,136,Providence,Rhode Island,"180,393",47.7,"3,760",138,RI,993
133,137,Fort Lauderdale,Florida,"180,072",89.6,"1,995",164,FL,1144
134,138,Newport News,Virginia,"179,388",179.0,"1,016",35,VA,835
135,139,Chattanooga,Tennessee,"179,139",370.6,479,154,TN,721
136,140,Rancho Cucamonga,California,"177,452",103.6,"1,704",22,CA,1403
137,141,Frisco,Texas,"177,286",175.3,933,39,TX,1260
138,142,Sioux Falls,South Dakota,"176,888",195.3,893,74,SD,622
139,143,Oceanside,California,"176,193",107.0,"1,641",80,CA,1771
140,144,Ontario,California,"175,841",129.2,"1,340",22,CA,1192
141,145,Vancouver,Washington,"175,673",121.5,"1,439",56,WA,1390
142,146,Santa Rosa,California,"175,269",107.0,"1,637",103,CA,1531
143,147,Garden Grove,California,"174,226",46.6,"3,751",159,CA,1628
